brand,配對數,有瀏覽,有加購,有移除,有購買,瀏覽且加購,瀏覽加購且購買,瀏覽→加購%,加購→購買%,加購後放棄%,放棄配對數,無瀏覽直接加購%
kaaral,30450.0,23378.0,7915.0,3536.0,2105.0,3157.0,513.0,13.504149200102662,15.780164245104233,84.21983575489577,6666.0,60.11370814908402
estel,247661.0,180700.0,68785.0,32917.0,19292.0,24297.0,4201.0,13.446043165467625,15.788325943156211,84.21167405684379,57925.0,64.67689176419277
jaguar,6832.0,5875.0,1067.0,465.0,259.0,405.0,82.0,6.893617021276596,15.83880037488285,84.16119962511715,898.0,62.04311152764761
freshbubble,3735.0,2288.0,1316.0,621.0,427.0,404.0,62.0,17.657342657342657,15.881458966565349,84.11854103343465,1107.0,69.30091185410335
treaclemoon,2347.0,1255.0,944.0,476.0,231.0,208.0,25.0,16.573705179282868,15.889830508474576,84.11016949152543,794.0,77.96610169491525
lsanic,4318.0,2798.0,1389.0,768.0,373.0,385.0,67.0,13.759828448892067,15.982721382289416,84.01727861771057,1167.0,72.28221742260618
concept,141567.0,109361.0,34086.0,15884.0,9472.0,12818.0,2230.0,11.720814549976682,15.997770345596432,84.00222965440356,28633.0,62.395118230358506
kapous,228323.0,172859.0,56962.0,25700.0,16189.0,18875.0,3219.0,10.919304172765086,16.040518240230327,83.95948175976967,47825.0,66.86387416172185
yoko,64496.0,43064.0,20641.0,10539.0,6579.0,7425.0,1289.0,17.24177967676017,16.08933675694007,83.91066324305993,17320.0,64.02790562472748
skinlite,12003.0,5735.0,5367.0,2643.0,1594.0,1279.0,230.0,22.301656495204885,16.340599962735233,83.65940003726476,4490.0,76.16918203838271
markell,23695.0,14509.0,8661.0,4704.0,2583.0,2810.0,536.0,19.367289268729753,16.395335411615285,83.60466458838471,7241.0,67.55570950236694
latinoil,1429.0,1256.0,236.0,106.0,58.0,123.0,25.0,9.79299363057325,16.52542372881356,83.47457627118644,197.0,47.88135593220339
dermal,6406.0,1746.0,3689.0,1823.0,1070.0,431.0,56.0,24.68499427262314,16.725399837354296,83.27460016264571,3072.0,88.31661696936838
zinger,81297.0,51376.0,26682.0,13279.0,8971.0,7605.0,1249.0,14.802631578947366,16.75661494640582,83.24338505359418,22211.0,71.49763885765684
domix,104664.0,60719.0,38515.0,19191.0,12837.0,10544.0,1883.0,17.36523987549202,16.783071530572506,83.2169284694275,32051.0,72.62365312216019
eos,729.0,461.0,230.0,144.0,55.0,43.0,8.0,9.327548806941431,16.956521739130434,83.04347826086956,191.0,81.30434782608695
tannymaxx,1705.0,1386.0,470.0,194.0,123.0,245.0,46.0,17.67676767676768,17.02127659574468,82.97872340425532,390.0,47.87234042553192
nagaraku,61375.0,32288.0,26139.0,11276.0,7850.0,5573.0,981.0,17.26028245787909,17.16974635601974,82.83025364398026,21651.0,78.67936799418493
igrobeauty,10472.0,5258.0,4433.0,2093.0,1453.0,944.0,163.0,17.95359452263218,17.347168960072185,82.6528310399278,3664.0,78.70516580194
opi,10133.0,8206.0,2162.0,913.0,543.0,776.0,167.0,9.456495247379966,17.391304347826086,82.6086956521739,1786.0,64.1073080481036
insight,11331.0,9409.0,2343.0,963.0,601.0,959.0,181.0,10.192369008396216,17.49893299189074,82.50106700810926,1933.0,59.06956892872386
emil,17576.0,15878.0,2088.0,964.0,718.0,1178.0,210.0,7.419070411890666,17.576628352490424,82.42337164750958,1721.0,43.582375478927204
batiste,3281.0,2068.0,1091.0,481.0,348.0,296.0,64.0,14.313346228239846,17.69019248395967,82.30980751604034,898.0,72.86892758936754
